Date covered,Theme,Status,Title,Drafted date,Medium date,LI date,Medium URL,LinkedIn URL,Notes
May 28,building,LinkedIn,The PM Who Automated Himself (Or at Least Tried To),July 1,July 1,July 2,https://medium.com/building-piper-morgan/the-pm-who-automated-himself-or-at-least-tried-to-b1d8c2dd5f40,https://www.linkedin.com/pulse/pm-who-automated-himself-least-tried-christian-crumlish-epumc,
May 29,process,LinkedIn,The Demo That Killed the Prototype,July 1,July 1,July 2,https://medium.com/building-piper-morgan/the-demo-that-killed-the-prototype-f0aad9fa3a4a,https://www.linkedin.com/pulse/demo-killed-prototype-christian-crumlish-znsnc,
May 29,process,LinkedIn,The Great Rebuild: Starting Over When Starting Over Is the Only Option,July 2,July 2,July 3,https://medium.com/building-piper-morgan/the-great-rebuild-starting-over-when-starting-over-is-the-only-option-b75918602942,https://www.linkedin.com/pulse/great-rebuild-starting-over-when-only-option-christian-crumlish-cdw9c,
June 3,building,LinkedIn,The Learning Infrastructure Gambit,July 3,July 3,July 4,https://medium.com/building-piper-morgan/the-learning-infrastructure-gambit-aab04037831e,https://www.linkedin.com/pulse/learning-infrastructure-gambit-christian-crumlish-lip3c,
June 4,building,LinkedIn,Knowledge Hierarchies and Dependency Hell,July 4,July 4,July 5,https://medium.com/building-piper-morgan/knowledge-hierarchies-and-dependency-hell-4734f6e9f442?source=user_profile_page---------4-------------7f4f3524879----------------------,https://www.linkedin.com/pulse/knowledge-hierarchies-dependency-hell-christian-crumlish-2tffc,
June 5,building,LinkedIn,From Scaffolding to Flight: Before the Training Wheels Come Off,July 5,July 5,July 6,https://medium.com/building-piper-morgan/from-scaffolding-to-flight-before-the-training-wheels-come-off-a858bf183c21,https://www.linkedin.com/pulse/from-scaffolding-flight-before-training-wheels-come-off-crumlish-nwkzc,
June 6,process,LinkedIn,Taking Stock: The Value of Pausing to Document and Plan,July 6,July 6,July 7,https://medium.com/building-piper-morgan/taking-stock-the-value-of-pausing-to-document-and-plan-da41a68cd59b,https://www.linkedin.com/pulse/taking-stock-value-pausing-document-plan-christian-crumlish-ghq4c,
June 9,building,LinkedIn,"Bidirectional Intelligence: Teaching AI to Critique, Not Just Create",July 7,July 7,July 8,https://mediajunkie.medium.com/bidirectional-intelligence-teaching-ai-to-critique-not-just-create-b5bb0c2c9384,https://www.linkedin.com/pulse/bidirectional-intelligence-teaching-ai-critique-christian-crumlish-jgcwc,
May 29,building,LinkedIn,The RAG Revelation: When Your Prototype Answers Back,June 27,July 8,July 9,https://medium.com/building-piper-morgan/the-rag-revelation-when-your-proof-of-concept-answers-back-cc7f4b96b621,https://www.linkedin.com/pulse/rag-revelation-when-your-proof-concept-answers-back-crumlish-udcec/,
May 29,building,LinkedIn,From Research Question to Working Prototype: Building an AI PM Assistant from Scratch,June 27,July 9,July 10,https://medium.com/building-piper-morgan/from-research-question-to-working-prototype-building-an-ai-pm-assistant-from-scratch-bb06005611cb,https://www.linkedin.com/pulse/from-research-question-working-prototype-building-ai-pm-crumlish-fixac/,
